date,value
2026-01-06,8127
2026-01-08,8131
2026-01-19,8210
2026-01-22,8229
2026-01-30,8330
2026-02-05,8295
2026-02-12,8332
2026-02-27,8443
2026-03-05,8483
2026-03-12,8521
2026-03-26,8661
2026-04-02,8534
2026-04-17,8671
2026-04-24,8715
2026-05-07,8766
2026-05-14,8929
2026-06-04,9000
2026-06-11,9049
2026-06-25,9177
